inspection_id,name,address,results,last_inspection_date,risk,lat,long,yelp_id,yelp_name,yelp_address,yelp_rating,yelp_is_closed,yelp_review_count,yelp_category
98522,Chicken Works And Salad Co.,3658 W Irving Park Rd,Pass,2011-12-19,Risk 1 (High),41.95385814,-87.71999799,chicken-works-and-salad-company-chicago,Chicken Works & Salad Company,3658 W Irving Park Rd,4.0,False,87,Fast Food
88616,Subway,2750 W Devon Ave,Pass,2011-07-08,Risk 1 (High),41.99767708,-87.69924898,subway-chicago-184,Subway,6067 N Lincoln Ave,2.5,False,3,Sandwiches
154521,Scoops Ice Cream,1730 W Fullerton Ave,Pass,2010-09-23,Risk 1 (High),41.92521233,-87.67192543,scoops-ice-cream-chicago,Scoop's Ice Cream,1730 W Fullerton Ave,2.5,False,16,Ice Cream & Frozen Yogurt
453242,Downtown Dogs,804 N Rush St,Pass,2011-09-16,Risk 1 (High),41.89685832,-87.6258292,downtown-dogs-chicago,Downtown Dogs,804 N Rush St,3.5,False,71,Hot Dogs
215312,Mom's & Dad's Deli,6345 S Central Ave,Pass,2011-05-11,Risk 2 (Medium),41.77673389,-87.76152794,mom-and-dads-deli-chicago,Mom & Dad's Deli,6345 S Central Ave,4.0,False,3,Delis
278065,New Fue City,6954 W North Ave,Fail,2010-08-05,Risk 1 (High),41.90907575,-87.7993386,new-fue-city-restaurant-chicago,New Fue City Restaurant,6954 W North Ave,1.5,False,7,Chinese
401300,Cedeno Foods,816 S Michigan Ave,Pass w/ Conditions,2011-10-12,Risk 2 (Medium),41.87162385,-87.62431055,smart-bar-chicago,Smart Bar,3730 N Clark St,4.0,False,228,Dance Clubs
529302,No. 1 China Express,4248 S Wentworth Ave,Pass,2011-09-15,Risk 1 (High),41.81683377,-87.63134627,no-1-china-express-chicago,No.1 China Express,4248 S Wentworth Ave,4.5,False,8,Chinese
229462,Lai Lai Restaurant,330 S Wells St,Pass w/ Conditions,2011-06-10,Risk 1 (High),41.87736776,-87.63385357,lai-thai-restaurant-morton-grove,Lai Thai Restaurant,7168 Dempster St,4.0,False,79,Thai
353331,Jesse's Mexican Grill,6950 N Western Ave,Pass,2011-04-14,Risk 1 (High),42.00833901,-87.69030024,jesses-mexican-grill-chicago,Jesse's Mexican Grill,6950 N Western Ave,3.5,False,39,Mexican
409289,Encore Liquor Lounge 7 Lunch Club,153 W Randolph St,Pass,2011-07-27,Risk 1 (High),41.88436319,-87.63257407,house-of-blues-chicago,House of Blues,329 N Dearborn St,3.0,False,354,Music Venues
58424,Caesar's Foods,901 N Damen Ave,Pass,2011-05-23,Risk 1 (High),41.89777928,-87.67695887,the-old-oak-tap-chicago,The Old Oak Tap,2109 W Chicago Ave,3.5,False,334,Bars
580089,Handlebar Chicago,2311 W North Ave,Fail,2012-05-02,Risk 1 (High),41.91024031,-87.6852601,handlebar-chicago,Handlebar,2311 W North Ave,4.0,False,704,Vegetarian
614358,Perry's Deli,174 N Franklin St,Pass w/ Conditions,2012-06-13,Risk 1 (High),41.88520685,-87.63554494,perrys-chicago,Perry's,180 N Franklin St,4.0,False,268,Sandwiches
419644,Starbucks Hk Apex,11601 W Touhy Ave,Pass,2010-10-20,Risk 2 (Medium),42.0085364,-87.91442844,girl-and-the-goat-chicago,Girl & The Goat,809 W Randolph St,4.5,False,1551,American (New)
197208,I Love Sushi,233 N Michigan Ave,Pass,2012-01-10,Risk 1 (High),41.88656737,-87.62438467,i-love-sushi-chicago,I Love Sushi,233 N. Michigan,4.0,False,19,Sushi Bars
361272,Three Asses,2917 N Cicero Ave,Fail,2010-09-21,Risk 1 (High),41.93387296,-87.74653841,bim-bom-lounge-chicago,Bim Bom Lounge,5226 W Belmont Ave,4.5,False,12,Bars
229512,Starbucks,10 S Riverside Plz,Pass,2011-04-12,Risk 2 (Medium),41.88166429,-87.63888744,starbucks-chicago-129,Starbucks,139 S Clinton St,4.0,False,8,Coffee & Tea
586134,Piece,1927 W North Ave,Pass,2011-08-03,Risk 1 (High),41.91039719,-87.6761811,piece-brewery-and-pizzeria-chicago,Piece Brewery and Pizzeria,1927 W North Ave,4.0,False,1486,Pizza
598238,Jc Sandwiches,2000 W 19th St,Pass,2011-05-25,Risk 1 (High),41.85594278,-87.67607275,lou-mitchells-restaurant-and-bakery-chicago-2,Lou Mitchell's Restaurant & Bakery,565 W Jackson Blvd,3.5,False,354,Breakfast & Brunch
63364,The Green House Steak,2700 S Millard Ave,Pass w/ Conditions,2011-02-16,Risk 1 (High),41.84244181,-87.71610534,the-green-house-of-steak-chicago,The Green House of Steak,2700 S Millard Avenue,5.0,False,1,Mexican
555275,Seashell Fish & Chicken,1049 W 103rd St,Pass,2011-10-21,Risk 2 (Medium),41.70674629,-87.64967461,seashell-restuarant-chicago-2,Seashell Restuarant,7131 S Jeffery Blvd,3.5,False,3,Fish & Chips
335333,Big Sharks,2553 E 75th St,Pass,2010-10-08,Risk 2 (Medium),41.75893654,-87.56188308,museum-of-science-and-industry-chicago-3,Museum of Science and Industry,5700 S Lake Shore Dr,4.0,False,369,Cinema
1206235,The Frontier,1072 N Milwaukee Ave,Fail,2012-06-01,Risk 1 (High),41.90128364,-87.66348362,frontier-chicago-2,Frontier,1072 N Milwaukee Ave,3.0,False,287,American (New)
120326,Subway,1000 W Washington Blvd,Pass,2012-05-07,Risk 1 (High),41.88317183,-87.6521331,subway-chicago-82,Subway,1501 W Madison St,4.0,False,1,Sandwiches
284598,Argo Tea,3135 N Broadway St,Pass w/ Conditions,2010-08-20,Risk 2 (Medium),41.938653,-87.64420514,argo-tea-chicago-2,Argo Tea,3135 N Broadway St,4.0,False,121,Coffee & Tea
